Mammals,,,,,,,
Pipistrellus,Pipistrelle,7.3,29.3,Ch,ND,I,104
pipistrellus,,,,,,,
Plecotus auritus,Brown long-eared,8.5,27.6,Ch,ND,I,145
"",bat,,,,,,
Myotis lucifugus,Little brown bat,9.0,29.9,Ch,ND,I,79
Gerbillus henleyi,Northern pygmy,9.3,26.5,Ro,D,G,39
"",gerbil,,,,,,
Tarsipes rostratus,Honey possum,9.9,34.4,Tr,ND,N,115
Anoura caudifer,Flower-visiting,11.5,51.9,Ch,ND,N,63
"",bat,,,,,,
Macrotus,Big-eared bat,13.0,21.5,Ch,D,I,102
californicus,,,,,,,
Peromyscus,Cactus mouse,13.4,39.3,Ro,D,O,102
crinitus,,,,,,,
Mus domesticus,Wild house mouse,15.1,47.1,Ro,D,O,"97, 104"
Cleithrionomys,Bank vole,16.0,57.6,Ro,ND,H,102
rutilus,,,,,,,
Sminthopsis,Narrow-footed,16.6,68.6,Da,ND,I,102
crassicaudata,marsup. mouse,,,,,,
Perognathus,Long-tailed,17.9,45.2,Ro,D,G,102
formosus,pocket mouse,,,,,,
Peromyscus,Deer mouse,17.9,53.4,Ro,D,O,61
maniculatus,,,,,,,
Peromyscus,White-footed,19.2,41.4,Ro,ND,O,"95, 102"
leucopus,deer mouse,,,,,,
Microtus arvalis,Meadow mouse,20.0,90.0,Ro,ND,O,104
Eremitalpa,Namib Desert,20.7,12.5,In,D,I,140
namibensis,golden mole,,,,,,
Eptesicus fuscus,Big brown bat,20.8,43.6,Ch,ND,I,80
Gerbillus allenbyi,Allenby’s gerbil,22.8,35.6,Ro,D,G,104
Cleithrionomys,Bank vole,23.4,88.0,Ro,ND,H,104
glareolus,,,,,,,
Microtus agrestis,Field vole,26.8,77.8,Ro,ND,H,"86, 104"
Gerbillus,Greater Egyptian,31.8,45.2,Ro,D,G,104
pyramidum,gerbil,,,,,,
Pseudomys,Australian native,32.6,62.2,Ro,ND,O,102
albocinereus,mouse,,,,,,
Antechinus,Brown antechinus,33.0,86.4,Da,ND,I,104
stuartii,,,,,,,
Phascogale,Wambenger,33.5,61.9,Da,ND,C,104
calura,,,,,,,
Dipodomys,Merriam’s,34.3,47.6,Ro,D,G,"102, 104"
merriami,kangaroo rat,,,,,,
Microtus,Meadow vole,36.9,115,Ro,ND,H,12
pennsylvanicus,,,,,,,
Acomys cahirinus,Common spiny,38.3,51.8,Ro,D,O,102
"",mouse,,,,,,
Sekeetamys calurus,Bushy-tailed jird,41.2,44.0,Ro,D,O,102
Microgale dobsoni,Shrew-tenrec,42.6,77.1,In,ND,I,146
Microgale talazaci,Shrew-tenrec,42.8,66.5,In,ND,I,146
Acomys russatus,Golden spiny,45.0,47.8,Ro,D,O,102
"",mouse,,,,,,
Lemmus,Brown lemming,55.2,201,Ro,ND,H,102
trimucronatus,,,,,,,
Dipodomys microps,Chisel-tooth,57.1,84.5,Ro,D,O,102
"",kangaroo rat,,,,,,
Praomys,Multi-mammate,57.3,86.6,Ro,ND,O,102
natalensis,mouse,,,,,,
Antechinus,Broad-footed,62.6,150,Da,ND,I,102
swainsonii,marsup. mouse,,,,,,
Meriones crassus,Jird,69.2,65.0,Ro,D,G,39
Phyllostomus,Spear-nosed bat,80.8,146,Ch,ND,I,78
hastatus,,,,,,,
Arvicola terrestris,Water vole,85.8,119,Ro,ND,H,102
Ammospermophilus,Antelope ground,87.0,88.0,Ro,D,O,102
leucurus,squirrel,,,,,,
Tamias striatus,Eastern,96.3,143,Ro,ND,O,102
"",chipmunk,,,,,,
Thomomys bottae,Botta’s pocket,104,130,Ro,ND,H,102
"",gopher,,,,,,
Petaurus breviceps,Sugar glider,124,173,Pt,ND,O,102
Gymnobelideus,Leadbeater’s,125,226,Pt,ND,O,102
leadbeateri,possum,,,,,,
Psammomys obesus,Fat sand rat,170,165,Ro,D,H,104
Spermophilus,Golden-mantled,214,226,Ro,ND,H,104
saturatus,ground sqrl.,,,,,,
Isoodon auratus,Golden,333,285,Pe,ND,O,16
"",bandicoot,,,,,,
Spermophilus,Arctic ground,630,817,Ro,ND,O,104
parryi,squirrel,,,,,,
Bassariscus astutus,Ring-tailed cat,752,472,Ca,D,C,26
Potorous,Long-nosed,825,517,Ma,ND,H,157
tridactylus,potoroo,,,,,,
Vulpes cana,Blanford’s fox,972,642,Ca,D,C,104
Petauroides volans,Greater glider,995,520,Pt,ND,H,104
Pseudocheirus,Ring-tail possum,"1,000",615,Pt,ND,H,96
peregrinus,,,,,,,
"",,,,,,,(Continued )
Bettongia,Short-nosed,"1,100",593,Ma,ND,H,104
penicillata,rat kangaroo,,,,,,
Isoodon,Short-nosed brown,"1,230",644,Pe,ND,O,106
obesulus,bandicoot,,,,,,
Vulpes macrotis,Kit fox,"1,480","1,180",Ca,D,C,53
Lepus,Black-tailed,"1,800","1,300",La,D,H,102
californicus,jackrabbit,,,,,,
Setonix,Quokka,"1,900",548,Ma,ND,H,102
brachyurus,,,,,,,
Vulpes velox,Swift fox,"2,100","1,780",Ca,ND,C,34
Aepyrpimnus,Rufous rat,"2,860","1,430",Ma,ND,H,104
rufescens,kangaroo,,,,,,
Tachyglosssus,Echidna,"2,860",875,Ta,ND,I,104
aculeatus,,,,,,,
Marmota,Yellow-bellied,"3,190","2,430",Ro,ND,H,138
flaviventris,marmot,,,,,,
Bradypus,Three-toed sloth,"4,150",545,Xe,ND,H,117
variegatus,,,,,,,
Macropus,Tammar wallaby,"4,380","1,150",Ma,ND,H,102
eugenii,,,,,,,
Thylogale,Red-bellied,"5,980","1,630",Ma,ND,H,"102, 120"
billiardieri,wallaby,,,,,,
Aloutta palliata,Mantled howler,"7,330","2,580",Pr,D,H,102
"",monkey,,,,,,
Phascolarctos,Koala,"7,520","1,710",Ph,ND,H,"43, 77,"
cinereus,,,,,,,102
Proteles,Aardwolf,"8,540","1,850",Ca,D,I,168
cristatus,,,,,,,
Petrogale,Rock wallaby,"8,900","2,210",Ma,ND,H,104
xanthopus,,,,,,,
Lyacon pictus,African wild dog,"25,170","15,300",Ca,D,C,54
Arctocephalus,Antarctic,"34,600","23,000",Pi,M,C,"6, 104"
gazella,fur seal,,,,,,
Canis lupus,Timber wolf,"37,300","17,700",Ca,ND,C,104
Arctocephalus,Galapagos,"37,400","4,780",Pi,M,C,104
galapagoensis,fur seal,,,,,,
Odocoileus,Mule deer,"39,100","18,000",Ar,ND,H,102
hemionus,,,,,,,
Antidorcas,Springbok,"43,300","24,100",Ar,D,H,113
marsupialis,,,,,,,
Macropus,Eastern grey,"44,500","8,670",Ma,ND,H,102
giganteus,kangaroo,,,,,,
Callorhinus,Northern fur seal,"51,100","36,100",Pi,M,C,102
ursinus,,,,,,,
Zalophus,California sea,"78,000","38,600",Pi,M,C,104
californianus,lion,,,,,,
Neophoca cinerea,Australian sea,"83,500","39,500",Pi,M,C,104
"",lion,,,,,,
Phoca vitulina,Common seal,"99,000","52,500",Pi,M,C,135
Birds,,,,,,,
Archilochus,Black-chinned,3.7,29.1,Ap,TeF,N,133
alexandri,hummingbird,,,,,,
Calypte anna,Anna’s,4.5,31.8,Ap,CS,N,134
"",hummingbird,,,,,,
Thalurania,Crowned,4.9,37.9,Ap,TF,N,162
colombica,woodnymph,,,,,,
Auriparus flaviceps,Verdin,6.6,30.0,Pa,D,I,162
Chalybura,Bronze-tailed,7.2,57.9,Ap,TF,N,162
urochrysia,plumeleteer,,,,,,
Malurus cyaneus,Superb blue,8.3,34.2,Pa,TeF,I,160
"",wren,,,,,,
Lampornis,Blue-throated,8.8,81.7,Ap,TeF,N,133
clemenciae,hummingbird,,,,,,
Zosterops lateralis,Grey-breasted,9.5,41.7,Pa,EF,F,102
"",silvereye,,,,,,
Parus ater,Coal tit,9.5,47.4,Pa,CF,I,118
Nectarinia violacea,Orange-breasted,9.5,66.2,Pa,FY,N,167
"",sunbird,,,,,,
Acanthorhynchus,Eastern spinebill,9.7,53.0,Pa,TeF,N,161
tenuirostris,,,,,,,
Troglodytes aedon,House wren,10.6,60.8,Pa,TeF,I,42
Parus cristatus,Crested tit,11.1,40.6,Pa,CF,I,118
Parus montanus,Willow tit,11.4,44.1,Pa,CF,I,"23, 118"
Parus caeruleus,Blue tit,11.5,64.0,Pa,CF,I,148
Eremiornis carteri,Spinifexbird,12.0,51.5,Pa,D,I,1
Parus cinctus,Siberian tit,12.8,51.4,Pa,CF,I,23
Ficedula hypoleuca,Pied flycatcher,13.5,65.8,Pa,OW,I,"91, 93"
Riparia riparia,Sand martin,14.3,81.7,Pa,TM,I,102
Muscicapa striata,Pacific swallow,14.4,52.0,Pa,TeF,I,22
Hirundo tahitica,Spotted,14.4,64.9,Pa,TF,I,"102, 148"
"",flycatcher,,,,,,
Phylidonyris,Crescent,14.6,75.9,Pa,TeF,N,161
pyrrhoptera,honeyeater,,,,,,
